Record_ID,Department,AI_Tool,Month,Employees_Using,Monthly_Cost_USD,Hours_Saved_Per_Week,Tasks_Automated,Value_Generated_USD,ROI_Percent
140,R&D,GitHub Copilot,2026-01,16,677.09,5.9,167,1237.34,82.74
141,Finance,Notion AI,2026-08,44,2008.09,2.9,29,8396.29,318.12
142,Sales,Claude,2026-04,4,164.32,11.3,28,690.44,320.18
143,Customer Support,Notion AI,2026-03,13,312.46,12.0,98,922.32,195.18
144,Finance,GitHub Copilot,2025-11,18,1010.38,14.2,80,3701.67,266.36
145,Customer Support,GitHub Copilot,2025-10,31,1808.24,3.0,62,7302.51,303.85
146,Operations,GitHub Copilot,2026-05,25,476.59,6.5,72,1415.8,197.07
147,R&D,Claude,2026-07,49,2217.51,9.2,168,9541.86,330.3
148,Marketing,Notion AI,2025-12,32,516.04,13.4,148,1177.82,128.24
149,HR,Notion AI,2025-10,42,2187.09,13.7,82,7310.33,234.25
150,Marketing,Microsoft Copilot,2025-09,4,114.79,7.9,29,226.69,97.48
151,IT,Midjourney,2026-04,25,1129.3,11.4,143,2917.12,158.31
152,IT,Midjourney,2026-07,8,420.13,9.6,76,549.51,30.8
153,Customer Support,Microsoft Copilot,2026-04,30,1733.25,13.0,30,7690.54,343.71
154,Customer Support,Jasper AI,2026-07,24,425.39,4.9,36,1842.68,333.17
155,R&D,ChatGPT,2026-07,15,658.15,9.4,10,899.63,36.69
156,Customer Support,Microsoft Copilot,2025-11,38,920.9,12.6,146,1734.63,88.36
157,HR,GitHub Copilot,2025-12,23,1146.47,12.0,157,1386.49,20.94
158,IT,Microsoft Copilot,2026-05,18,916.8,2.5,11,1498.92,63.49
159,Customer Support,GitHub Copilot,2025-12,39,1153.22,3.4,18,1866.26,61.83
160,Operations,Jasper AI,2025-10,49,875.15,7.3,97,2532.41,189.37
161,Marketing,Midjourney,2026-05,16,920.7,1.6,173,2689.17,192.08
162,R&D,Notion AI,2025-09,5,299.68,12.9,114,1038.13,246.41
163,R&D,Notion AI,2026-04,6,332.8,5.5,42,471.49,41.67
164,Finance,Jasper AI,2026-07,39,1547.37,5.6,157,4566.04,195.08
165,R&D,Jasper AI,2026-06,29,564.43,10.8,172,1889.73,234.8
166,HR,Midjourney,2026-04,16,537.95,12.6,107,1384.02,157.28
167,Marketing,Claude,2026-03,22,988.46,6.2,44,3426.51,246.65
168,R&D,ChatGPT,2025-10,7,134.37,2.4,194,326.48,142.97
169,IT,Jasper AI,2025-09,39,2263.88,8.9,176,3629.82,60.34
170,Customer Support,GitHub Copilot,2026-07,50,1701.61,13.8,18,7479.79,339.57
171,Finance,Claude,2025-10,38,1437.68,3.2,128,2789.11,94.0
172,Marketing,Claude,2026-05,25,504.25,4.9,62,1948.34,286.38
173,Sales,Jasper AI,2026-07,46,1243.62,3.5,184,4621.23,271.6
174,Customer Support,Claude,2025-09,13,703.87,8.9,107,1006.27,42.96
175,Sales,ChatGPT,2026-08,35,863.83,6.9,92,1485.31,71.94
176,Finance,Notion AI,2026-02,38,1589.54,13.4,44,2733.14,71.95
177,Sales,Notion AI,2025-10,19,663.86,6.9,160,1765.03,165.87
178,Finance,Microsoft Copilot,2026-05,9,274.8,2.6,178,945.04,243.9
179,R&D,Jasper AI,2026-07,21,357.92,6.5,158,494.21,38.08
180,HR,Claude,2025-12,10,493.87,5.1,35,605.24,22.55
181,Operations,Microsoft Copilot,2025-11,26,1013.12,4.2,148,4001.89,295.01
182,Customer Support,ChatGPT,2026-03,49,828.28,1.3,24,3350.36,304.5
183,Operations,Jasper AI,2026-03,47,2058.9,5.1,108,2612.39,26.88
184,Customer Support,Microsoft Copilot,2026-06,31,1625.68,13.9,27,4293.66,164.11
185,Marketing,Microsoft Copilot,2026-03,39,1287.79,2.1,84,4714.8,266.12
186,HR,Claude,2025-11,6,227.83,2.6,135,419.18,83.99
187,Customer Support,Claude,2026-08,43,2222.1,4.3,42,4543.52,104.47
188,IT,Jasper AI,2025-11,50,2458.09,2.1,165,6957.84,183.06
189,R&D,Notion AI,2026-06,43,1874.3,9.7,165,4204.54,124.33
190,R&D,ChatGPT,2026-04,30,1302.37,12.1,156,1804.26,38.54
191,Marketing,Claude,2026-04,30,500.77,6.2,78,727.73,45.32
192,Marketing,Jasper AI,2026-06,34,1098.26,9.1,194,4564.8,315.64
193,R&D,GitHub Copilot,2026-06,43,1009.24,9.5,133,1713.53,69.78
194,Sales,Midjourney,2025-10,23,1361.77,2.2,170,2409.58,76.94
195,HR,Notion AI,2026-04,30,1157.49,9.5,98,2813.18,143.04
196,Finance,Midjourney,2026-03,23,1047.66,1.7,166,3495.11,233.61
197,Marketing,Claude,2025-10,37,1684.5,5.0,190,6755.13,301.02
198,IT,Claude,2025-10,39,1749.64,13.8,84,7686.87,339.34
199,Operations,Microsoft Copilot,2026-06,47,2688.87,5.3,101,8936.53,232.35
200,Customer Support,GitHub Copilot,2025-11,44,2051.61,14.3,180,8639.49,321.11
201,Marketing,Notion AI,2026-07,29,1098.58,1.3,84,1971.81,79.49
202,HR,Claude,2026-04,14,352.72,2.9,24,767.56,117.61
203,Marketing,Jasper AI,2026-05,49,2683.52,1.5,91,10981.22,309.21
204,IT,Jasper AI,2026-03,11,245.31,12.6,164,949.31,286.98
205,IT,Notion AI,2026-04,4,133.95,10.5,65,589.33,339.96
206,Finance,GitHub Copilot,2026-08,30,765.9,4.3,125,3203.85,318.31
207,HR,Claude,2026-07,38,2253.39,7.5,77,8490.34,276.78
208,Operations,Microsoft Copilot,2025-12,40,849.12,4.5,169,2365.61,178.6
209,Customer Support,Jasper AI,2025-10,47,2494.06,12.9,77,3683.2,47.68
210,IT,Claude,2026-04,34,735.44,7.1,61,2864.63,289.51
211,Customer Support,ChatGPT,2026-03,5,164.2,6.2,103,735.93,348.19
212,Customer Support,Microsoft Copilot,2025-09,22,1251.52,12.7,171,2886.58,130.65
213,IT,Microsoft Copilot,2025-09,20,1125.66,7.6,40,4169.64,270.42
214,R&D,Midjourney,2026-06,2,111.53,1.3,60,441.14,295.53
215,Operations,ChatGPT,2026-01,17,485.38,1.7,112,1605.9,230.85
216,R&D,ChatGPT,2025-10,33,1381.16,1.2,136,4278.36,209.77
217,IT,Claude,2026-03,2,85.33,4.4,111,155.14,81.81
218,Marketing,Jasper AI,2026-02,6,347.42,8.6,134,1052.23,202.87
219,Operations,GitHub Copilot,2026-04,4,174.42,14.7,69,639.45,266.62
220,Customer Support,GitHub Copilot,2025-10,24,620.42,10.2,31,2324.07,274.6
221,Customer Support,Microsoft Copilot,2025-09,24,949.69,12.4,49,3742.03,294.03
222,R&D,Notion AI,2026-04,42,974.51,2.9,188,3665.55,276.14
223,R&D,ChatGPT,2026-01,14,237.6,3.8,15,532.57,124.15
224,Finance,Jasper AI,2026-03,36,1306.91,1.5,170,2392.48,83.06
225,Customer Support,GitHub Copilot,2025-09,43,1287.27,2.7,99,3400.89,164.19
226,Operations,Notion AI,2026-04,26,786.67,3.6,182,2235.58,184.18
227,Finance,GitHub Copilot,2025-10,48,1636.92,7.0,51,4910.87,200.01
228,Customer Support,ChatGPT,2025-10,22,984.31,5.3,159,3512.3,256.83
229,IT,Notion AI,2026-04,24,842.9,11.2,95,2721.73,222.9
230,Operations,Claude,2026-07,5,91.88,9.9,98,265.83,189.32
231,IT,ChatGPT,2025-11,40,1820.56,7.1,37,2588.6,42.19
232,Customer Support,Claude,2026-03,38,625.38,3.1,120,2708.59,333.11
233,Customer Support,Midjourney,2025-10,38,805.46,6.1,85,2693.1,234.36
234,HR,ChatGPT,2025-09,49,1145.24,8.2,148,1819.34,58.86
235,Finance,Notion AI,2026-04,15,897.55,5.0,130,1669.97,86.06
236,IT,GitHub Copilot,2025-10,30,683.09,11.0,27,2646.76,287.47
237,Customer Support,Notion AI,2026-02,47,842.35,8.6,81,3377.4,300.95
238,IT,GitHub Copilot,2026-02,34,853.09,14.8,40,1690.17,98.12
239,R&D,ChatGPT,2026-02,37,1507.84,7.5,146,2455.13,62.82
240,Marketing,ChatGPT,2026-01,27,1619.51,11.1,139,4138.86,155.56
241,Operations,GitHub Copilot,2026-06,6,123.84,5.4,23,332.5,168.49
242,Customer Support,Microsoft Copilot,2026-05,42,1740.92,11.7,38,4574.51,162.76
243,Sales,GitHub Copilot,2025-10,35,766.0,3.3,87,3282.03,328.46
244,HR,Claude,2026-05,20,1061.34,4.5,167,4623.15,335.6
245,Finance,Microsoft Copilot,2026-07,21,895.63,2.3,169,1573.17,75.65
246,IT,Microsoft Copilot,2026-07,41,1944.57,9.5,149,2597.83,33.59
247,Sales,ChatGPT,2025-09,43,2136.93,4.7,58,7972.81,273.1
248,Operations,Jasper AI,2026-07,3,112.24,9.8,79,372.45,231.83
249,Finance,Midjourney,2025-12,45,1497.34,7.3,181,2092.85,39.77
250,R&D,Midjourney,2026-04,31,749.61,9.5,85,3030.6,304.29
251,Customer Support,Notion AI,2026-02,27,563.88,6.2,148,874.24,55.04
252,HR,Midjourney,2025-10,19,669.4,3.0,17,1444.36,115.77
253,Operations,GitHub Copilot,2026-06,28,732.82,13.1,45,2846.62,288.45
254,Customer Support,Microsoft Copilot,2025-11,33,1974.01,7.5,83,5608.8,184.13
255,Marketing,Midjourney,2026-05,31,1813.53,4.0,95,2467.44,36.06
256,Finance,Midjourney,2026-06,43,1946.33,5.0,7,7776.89,299.57
257,Operations,Microsoft Copilot,2026-01,48,1510.08,6.6,16,3808.3,152.19
258,HR,Claude,2026-05,20,366.18,8.1,200,1103.86,201.45
259,Marketing,Microsoft Copilot,2025-10,27,858.44,14.8,147,3690.03,329.85
260,IT,Microsoft Copilot,2026-06,34,1124.12,1.6,14,1857.29,65.22
261,Customer Support,GitHub Copilot,2026-04,35,1244.76,9.5,136,2067.89,66.13
262,Customer Support,Microsoft Copilot,2026-03,41,1979.04,5.2,91,5688.04,187.41
263,R&D,Notion AI,2026-06,21,763.77,1.2,89,2614.81,242.36
264,Operations,Jasper AI,2026-01,48,2603.73,9.8,157,7202.3,176.61
265,HR,Notion AI,2025-09,39,1428.19,8.3,189,4634.66,224.51
266,Operations,Microsoft Copilot,2026-07,17,279.15,14.3,33,510.73,82.96
267,R&D,Claude,2026-03,11,369.42,3.9,133,1388.06,275.74
268,R&D,GitHub Copilot,2026-08,48,854.53,2.9,58,2607.11,205.09
269,R&D,Jasper AI,2026-03,22,1277.12,7.4,141,2975.28,132.97
270,Customer Support,Notion AI,2026-08,45,1977.7,10.7,161,5533.2,179.78
271,HR,Claude,2026-05,21,527.5,14.6,81,1975.42,274.49
272,HR,Notion AI,2026-08,33,965.81,5.9,189,2030.53,110.24
273,Marketing,Jasper AI,2026-07,36,1155.1,14.7,93,5024.93,335.02
274,IT,Claude,2025-09,20,1159.78,2.1,118,3902.32,236.47
275,R&D,Microsoft Copilot,2025-12,36,979.24,8.9,74,1618.68,65.3
276,HR,Microsoft Copilot,2025-09,44,2452.26,4.2,64,3367.49,37.32
277,Operations,Claude,2026-08,32,624.78,11.8,6,2738.36,338.29
278,IT,Midjourney,2026-07,32,1167.53,3.8,78,2638.45,125.99
279,Sales,GitHub Copilot,2025-10,43,1755.95,8.5,190,7034.51,300.61
280,Sales,Microsoft Copilot,2026-03,13,741.34,1.5,106,2817.29,280.03
281,IT,Notion AI,2026-01,4,61.67,9.0,32,262.95,326.38
282,Customer Support,Claude,2026-04,43,1696.29,7.9,39,6799.57,300.85
283,R&D,Claude,2025-12,9,268.93,11.2,170,551.03,104.9
284,IT,ChatGPT,2026-08,23,1163.44,8.9,198,2137.74,83.74
285,Operations,GitHub Copilot,2026-03,34,1011.73,6.6,29,1831.01,80.98
286,IT,Midjourney,2026-02,17,260.23,6.4,119,959.57,268.74
287,Customer Support,Claude,2026-06,48,1957.42,4.7,97,6823.83,248.61
288,Sales,Notion AI,2025-10,31,892.99,6.7,133,3791.86,324.63
289,Finance,Notion AI,2025-10,42,2361.49,5.1,162,4554.85,92.88
290,IT,Midjourney,2025-11,31,1508.09,9.5,111,5303.05,251.64
291,R&D,GitHub Copilot,2026-05,44,2294.69,11.7,179,8468.88,269.06
292,Marketing,Jasper AI,2026-04,35,1633.43,2.1,149,2564.96,57.03
293,HR,Jasper AI,2026-05,11,246.45,13.0,118,390.28,58.36
294,HR,Notion AI,2026-06,33,630.05,8.1,19,1698.82,169.63
295,Operations,Midjourney,2026-06,5,200.73,10.4,83,719.98,258.68
296,Operations,Claude,2025-09,49,1215.47,2.0,113,2840.49,133.69
297,Marketing,Jasper AI,2025-09,6,356.26,7.6,78,908.2,154.93
298,IT,GitHub Copilot,2026-07,48,2115.1,6.9,102,5668.83,168.02
299,Operations,Midjourney,2025-10,45,2627.39,13.2,39,8819.26,235.67
300,Customer Support,ChatGPT,2025-11,36,1176.75,2.8,62,4653.94,295.49
